"RESPONSE","PREDICTOR","RESPONSEVAL","PREDICTORVAL","N"
"IA_1","PU_1","6","6",64
"IA_1","PU_1","4","5",14
"IA_1","PU_1","7","7",47
"IA_1","PU_1","6","7",40
"IA_1","PU_1","5","5",40
"IA_1","PU_1","6","5",18
"IA_1","PU_1","3","5",3
"IA_1","PU_1","4","4",8
"IA_1","PU_1","5","6",27
"IA_1","PU_1","1","4",1
"IA_1","PU_1","5","4",12
"IA_1","PU_1","7","5",8
"IA_1","PU_1","1","7",2
"IA_1","PU_1","6","4",3
"IA_1","PU_1","5","7",6
"IA_1","PU_1","7","4",3
"IA_1","PU_1","7","6",26
"IA_1","PU_1","3","7",1
"IA_1","PU_1","2","6",2
"IA_1","PU_1","1","2",2
"IA_1","PU_1","2","3",2
"IA_1","PU_1","4","7",5
"IA_1","PU_1","3","4",5
"IA_1","PU_1","3","6",3
"IA_1","PU_1","5","3",3
"IA_1","PU_1","2","2",3
"IA_1","PU_1","4","3",1
"IA_1","PU_1","4","6",7
"IA_1","PU_1","2","5",2
"IA_1","PU_1","7","3",1
"IA_1","PU_1","7","2",1
"IA_2","PU_1","7","6",27
"IA_2","PU_1","2","5",7
"IA_2","PU_1","6","7",42
"IA_2","PU_1","7","7",42
"IA_2","PU_1","2","7",1
"IA_2","PU_1","5","5",33
"IA_2","PU_1","7","5",6
"IA_2","PU_1","6","5",20
"IA_2","PU_1","4","5",11
"IA_2","PU_1","6","6",60
"IA_2","PU_1","5","6",25
"IA_2","PU_1","3","5",7
"IA_2","PU_1","4","4",10
"IA_2","PU_1","5","4",11
"IA_2","PU_1","1","7",2
"IA_2","PU_1","4","6",9
"IA_2","PU_1","7","4",2
"IA_2","PU_1","5","7",9
"IA_2","PU_1","6","4",3
"IA_2","PU_1","2","6",2
"IA_2","PU_1","2","2",4
"IA_2","PU_1","3","6",5
"IA_2","PU_1","2","3",2
"IA_2","PU_1","1","2",1
"IA_2","PU_1","4","7",4
"IA_2","PU_1","3","4",5
"IA_2","PU_1","4","3",3
"IA_2","PU_1","2","4",1
"IA_2","PU_1","1","6",1
"IA_2","PU_1","1","5",1
"IA_2","PU_1","7","3",1
"IA_2","PU_1","3","2",1
"IA_2","PU_1","3","7",1
"IA_2","PU_1","6","3",1
"IA_3","PU_1","7","6",22
"IA_3","PU_1","4","5",10
"IA_3","PU_1","7","7",49
"IA_3","PU_1","6","7",39
"IA_3","PU_1","5","5",39
"IA_3","PU_1","6","5",18
"IA_3","PU_1","6","6",66
"IA_3","PU_1","3","5",6
"IA_3","PU_1","4","4",10
"IA_3","PU_1","5","6",27
"IA_3","PU_1","5","4",13
"IA_3","PU_1","7","5",8
"IA_3","PU_1","1","7",2
"IA_3","PU_1","6","4",3
"IA_3","PU_1","5","7",4
"IA_3","PU_1","7","4",1
"IA_3","PU_1","2","5",4
"IA_3","PU_1","2","6",2
"IA_3","PU_1","1","2",2
"IA_3","PU_1","4","6",7
"IA_3","PU_1","4","3",3
"IA_3","PU_1","4","7",6
"IA_3","PU_1","3","4",5
"IA_3","PU_1","3","6",5
"IA_3","PU_1","2","2",2
"IA_3","PU_1","5","3",2
"IA_3","PU_1","2","3",1
"IA_3","PU_1","6","3",1
"IA_3","PU_1","7","2",1
"IA_3","PU_1","3","7",1
"IA_3","PU_1","3","2",1
"IA_4","PU_1","7","6",21
"IA_4","PU_1","3","5",9
"IA_4","PU_1","7","7",43
"IA_4","PU_1","6","7",41
"IA_4","PU_1","5","5",40
"IA_4","PU_1","6","5",18
"IA_4","PU_1","4","5",9
"IA_4","PU_1","6","6",66
"IA_4","PU_1","4","4",8
"IA_4","PU_1","5","6",23
"IA_4","PU_1","6","4",4
"IA_4","PU_1","2","5",3
"IA_4","PU_1","5","4",11
"IA_4","PU_1","7","5",5
"IA_4","PU_1","5","7",11
"IA_4","PU_1","1","7",2
"IA_4","PU_1","7","4",3
"IA_4","PU_1","2","6",3
"IA_4","PU_1","4","6",12
"IA_4","PU_1","1","2",2
"IA_4","PU_1","3","6",4
"IA_4","PU_1","2","3",3
"IA_4","PU_1","4","7",4
"IA_4","PU_1","3","4",5
"IA_4","PU_1","2","4",1
"IA_4","PU_1","4","3",3
"IA_4","PU_1","2","2",2
"IA_4","PU_1","1","5",1
"IA_4","PU_1","7","3",1
"IA_4","PU_1","5","2",1
"IA_4","PU_1","3","2",1
"IA_1","PU_2","6","6",72
"IA_1","PU_2","4","4",13
"IA_1","PU_2","7","7",43
"IA_1","PU_2","6","5",15
"IA_1","PU_2","5","4",13
"IA_1","PU_2","5","6",26
"IA_1","PU_2","6","7",33
"IA_1","PU_2","4","6",10
"IA_1","PU_2","3","5",4
"IA_1","PU_2","4","5",7
"IA_1","PU_2","5","5",40
"IA_1","PU_2","1","5",1
"IA_1","PU_2","4","3",2
"IA_1","PU_2","7","6",31
"IA_1","PU_2","1","7",2
"IA_1","PU_2","6","4",4
"IA_1","PU_2","5","7",5
"IA_1","PU_2","7","5",6
"IA_1","PU_2","4","7",3
"IA_1","PU_2","7","4",5
"IA_1","PU_2","5","3",3
"IA_1","PU_2","3","7",1
"IA_1","PU_2","2","6",2
"IA_1","PU_2","1","2",1
"IA_1","PU_2","2","5",3
"IA_1","PU_2","1","1",1
"IA_1","PU_2","3","3",2
"IA_1","PU_2","5","2",1
"IA_1","PU_2","3","4",3
"IA_1","PU_2","2","2",3
"IA_1","PU_2","2","3",1
"IA_1","PU_2","3","6",2
"IA_1","PU_2","7","3",1
"IA_1","PU_2","6","3",1
"IA_2","PU_2","7","6",26
"IA_2","PU_2","2","4",2
"IA_2","PU_2","6","7",32
"IA_2","PU_2","7","5",6
"IA_2","PU_2","2","6",5
"IA_2","PU_2","5","4",10
"IA_2","PU_2","6","6",73
"IA_2","PU_2","5","5",38
"IA_2","PU_2","7","7",40
"IA_2","PU_2","4","4",11
"IA_2","PU_2","3","5",5
"IA_2","PU_2","4","5",8
"IA_2","PU_2","2","3",2
"IA_2","PU_2","6","5",14
"IA_2","PU_2","5","6",23
"IA_2","PU_2","1","7",2
"IA_2","PU_2","4","6",11
"IA_2","PU_2","6","4",5
"IA_2","PU_2","5","7",6
"IA_2","PU_2","3","7",3
"IA_2","PU_2","7","4",6
"IA_2","PU_2","6","3",2
"IA_2","PU_2","2","2",4
"IA_2","PU_2","3","6",4
"IA_2","PU_2","2","5",4
"IA_2","PU_2","1","1",1
"IA_2","PU_2","4","7",4
"IA_2","PU_2","3","3",3
"IA_2","PU_2","4","2",1
"IA_2","PU_2","4","3",2
"IA_2","PU_2","1","5",1
"IA_2","PU_2","1","6",1
"IA_2","PU_2","3","4",4
"IA_2","PU_2","5","3",1
"IA_3","PU_2","7","6",30
"IA_3","PU_2","4","4",10
"IA_3","PU_2","7","7",42
"IA_3","PU_2","7","5",6
"IA_3","PU_2","6","6",71
"IA_3","PU_2","5","4",16
"IA_3","PU_2","6","5",17
"IA_3","PU_2","5","6",25
"IA_3","PU_2","6","7",34
"IA_3","PU_2","5","5",35
"IA_3","PU_2","3","5",6
"IA_3","PU_2","4","5",10
"IA_3","PU_2","3","3",2
"IA_3","PU_2","1","7",2
"IA_3","PU_2","6","4",5
"IA_3","PU_2","5","7",5
"IA_3","PU_2","4","7",3
"IA_3","PU_2","7","4",2
"IA_3","PU_2","2","6",4
"IA_3","PU_2","5","3",4
"IA_3","PU_2","1","2",1
"IA_3","PU_2","4","6",10
"IA_3","PU_2","1","1",1
"IA_3","PU_2","3","4",5
"IA_3","PU_2","3","6",3
"IA_3","PU_2","4","2",1
"IA_3","PU_2","2","2",2
"IA_3","PU_2","4","3",2
"IA_3","PU_2","2","3",1
"IA_3","PU_2","2","5",2
"IA_3","PU_2","7","3",1
"IA_3","PU_2","3","7",1
"IA_3","PU_2","3","2",1
"IA_4","PU_2","7","6",22
"IA_4","PU_2","3","4",7
"IA_4","PU_2","7","7",44
"IA_4","PU_2","6","5",17
"IA_4","PU_2","6","6",74
"IA_4","PU_2","5","4",13
"IA_4","PU_2","6","7",31
"IA_4","PU_2","5","5",35
"IA_4","PU_2","5","6",28
"IA_4","PU_2","4","4",10
"IA_4","PU_2","3","5",6
"IA_4","PU_2","4","5",9
"IA_4","PU_2","2","3",4
"IA_4","PU_2","1","7",2
"IA_4","PU_2","5","7",7
"IA_4","PU_2","6","4",6
"IA_4","PU_2","7","5",5
"IA_4","PU_2","3","7",1
"IA_4","PU_2","7","4",2
"IA_4","PU_2","5","3",3
"IA_4","PU_2","2","6",2
"IA_4","PU_2","1","2",1
"IA_4","PU_2","3","6",3
"IA_4","PU_2","2","5",4
"IA_4","PU_2","1","1",1
"IA_4","PU_2","4","7",2
"IA_4","PU_2","4","6",13
"IA_4","PU_2","4","2",1
"IA_4","PU_2","2","2",2
"IA_4","PU_2","4","3",1
"IA_4","PU_2","1","6",1
"IA_4","PU_2","3","3",1
"IA_4","PU_2","6","3",1
"IA_4","PU_2","3","2",1
"IA_1","PU_3","6","6",67
"IA_1","PU_3","4","5",11
"IA_1","PU_3","7","7",51
"IA_1","PU_3","6","7",33
"IA_1","PU_3","5","5",44
"IA_1","PU_3","6","5",19
"IA_1","PU_3","5","6",28
"IA_1","PU_3","6","4",6
"IA_1","PU_3","4","6",12
"IA_1","PU_3","4","4",11
"IA_1","PU_3","7","6",31
"IA_1","PU_3","3","5",7
"IA_1","PU_3","1","6",1
"IA_1","PU_3","5","4",5
"IA_1","PU_3","1","7",2
"IA_1","PU_3","5","3",3
"IA_1","PU_3","5","7",7
"IA_1","PU_3","3","6",4
"IA_1","PU_3","2","7",2
"IA_1","PU_3","1","2",2
"IA_1","PU_3","2","5",2
"IA_1","PU_3","7","5",3
"IA_1","PU_3","3","4",1
"IA_1","PU_3","2","4",1
"IA_1","PU_3","2","2",2
"IA_1","PU_3","2","3",1
"IA_1","PU_3","2","6",1
"IA_1","PU_3","5","2",1
"IA_1","PU_3","4","7",1
"IA_1","PU_3","7","3",1
"IA_2","PU_3","7","6",27
"IA_2","PU_3","2","5",6
"IA_2","PU_3","6","7",35
"IA_2","PU_3","7","7",43
"IA_2","PU_3","2","6",3
"IA_2","PU_3","5","5",36
"IA_2","PU_3","7","5",6
"IA_2","PU_3","6","6",68
"IA_2","PU_3","5","4",6
"IA_2","PU_3","4","4",9
"IA_2","PU_3","5","6",24
"IA_2","PU_3","3","5",11
"IA_2","PU_3","4","5",9
"IA_2","PU_3","4","6",14
"IA_2","PU_3","2","4",2
"IA_2","PU_3","6","4",5
"IA_2","PU_3","5","7",10
"IA_2","PU_3","6","5",18
"IA_2","PU_3","1","7",2
"IA_2","PU_3","7","4",1
"IA_2","PU_3","5","3",1
"IA_2","PU_3","2","7",2
"IA_2","PU_3","2","2",3
"IA_2","PU_3","1","2",1
"IA_2","PU_3","4","7",3
"IA_2","PU_3","3","6",6
"IA_2","PU_3","4","3",2
"IA_2","PU_3","2","3",1
